,COUNTRY,HAPPINESS_SCORE,LOG_OF_GDP_PER_PERSON,GDP_PER_PERSON,HEALTHY_LIFE_EXPECTANCY,SOCIAL_SUPPORT,FREEDOM,GENEROSITY,PERCEPTIONS_OF_CORRUPTION,PREDICTED_HAPPINESS
49,Guatemala,6.382,8.906291962,7378.251465,63.14404297,0.823568165,0.882483244,0.271144837,0.816302657,HAPPY
50,Guinea,3.964,7.500808716,1809.505249,50.65055084,0.629381716,0.705858171,0.173848122,0.773457825,UNHAPPY
51,Haiti,3.582,7.407795906,1648.788208,53.09695053,0.597163141,0.395070165,0.487097681,0.755475521,UNHAPPY
52,Honduras,5.504,8.386997223,4389.616699,63.58446121,0.798036039,0.759944797,0.260578573,0.810827494,NORMAL
53,Hungary,5.62,10.15791893,25794.56055,67.01953888,0.878176928,0.592039645,0.186147884,0.90556103,NORMAL
54,Iceland,7.495,10.71117878,44854.48047,72.75598145,0.977497399,0.943218648,0.684818447,0.691877782,HAPPY
55,India,4.19,8.713383675,6083.793457,59.25737381,0.610865712,0.827820241,0.246470809,0.774644315,UNHAPPY
56,Indonesia,5.093,9.284377098,10768.46387,60.43648911,0.801868558,0.826849282,0.775615573,0.914106369,NORMAL
57,Iran,4.707,9.796599388,17972.52344,65.73571777,0.620776892,0.76056242,0.50422281,0.70802772,UNHAPPY
58,Iraq,4.456,9.640294075,15371.86328,60.8644371,0.702425718,0.629619598,0.27883327,0.772016346,UNHAPPY
59,Ireland,6.977,11.04609489,62698.63281,71.57515717,0.952267706,0.890615284,0.63651377,0.382129222,HAPPY
60,Israel,7.19,10.39169025,32587.70117,71.95492554,0.891086698,0.764510691,0.516909897,0.795871079,HAPPY
61,Italy,6.0,10.4569397,34784.9375,73.7829361,0.918766439,0.610554516,0.326457053,0.894133627,NORMAL
62,Ivory Coast,4.671,8.133846283,3407.88208,46.52259064,0.661694646,0.766587436,0.160901174,0.756601632,UNHAPPY
63,Jamaica,5.89,9.025864601,8315.400391,65.81879425,0.915701866,0.858068526,0.156673923,0.888890028,NORMAL
64,Japan,5.915,10.55351734,38311.95703,75.08824158,0.902810693,0.839335978,0.245056108,0.670361459,NORMAL
65,Kazakhstan,5.79,10.06666183,23544.83594,63.86494446,0.925234258,0.755724132,0.314800054,0.723837793,NORMAL
66,Kenya,4.41,7.980463028,2923.284424,58.29691315,0.73378247,0.797864199,0.46963051,0.844873846,UNHAPPY
67,Kyrgyzstan,5.131,8.097990036,3287.853027,62.68017578,0.884335458,0.828307033,0.368075967,0.882819533,NORMAL
68,Laos,4.623,8.708567619,6054.563965,57.8695755,0.727889597,0.900917172,0.371115685,0.626053154,UNHAPPY
69,Latvia,5.933,10.08394718,23955.35547,65.10926056,0.899831951,0.679467142,0.228871495,0.824202657,NORMAL
70,Lebanon,5.199,9.494716644,13289.3291,68.71563721,0.782185674,0.61949873,0.329722315,0.884623826,NORMAL
71,Lesotho,3.808,7.914381981,2736.35498,46.48040009,0.802021265,0.729934275,0.097547829,0.740821719,UNHAPPY
72,Liberia,3.495,6.640143394,765.2047119,52.38557816,0.656341314,0.726524651,0.140305057,0.891234457,UNHAPPY
73,Libya,5.566,9.560900688,14198.62891,61.38998795,0.857142568,0.791323543,0.245409578,0.673075855,NORMAL
74,Lithuania,5.952,10.24080372,28023.64063,66.51541138,0.92958951,0.668457568,0.139114007,0.934920669,NORMAL
75,Luxembourg,6.91,11.45878601,94730.0,72.2013092,0.926702619,0.905802071,0.49634555,0.354121447,HAPPY
76,Macedonia,5.185,9.47803688,13069.50391,65.7304306,0.811981857,0.706000268,0.307578921,0.849811912,NORMAL
77,Madagascar,3.774,7.239486694,1393.37854,56.6400032,0.676454842,0.560127676,0.105848134,0.85706389,UNHAPPY
